timestamps,X,Y,Z,Marker0
1749791214.699,0.175,-0.006,0.974,0
1749791214.756,0.177,-0.006,0.973,0
1749791214.756,0.176,-0.011,0.974,0
1749791214.756,0.178,-0.008,0.970,0
1749791214.816,0.175,-0.007,0.968,0
1749791214.816,0.174,-0.004,0.970,0
1749791214.816,0.179,-0.005,0.973,0
1749791214.876,0.174,-0.011,0.973,0
1749791214.876,0.174,-0.012,0.976,0
1749791214.876,0.173,-0.011,0.976,0
1749791214.920,0.171,-0.003,0.973,0
1749791214.920,0.169,-0.005,0.967,0
1749791214.920,0.168,-0.006,0.966,0
1749791214.980,0.169,-0.003,0.968,0
1749791214.980,0.173,-0.002,0.967,0
1749791214.980,0.172,-0.002,0.970,0
1749791215.040,0.172,-0.005,0.971,0
1749791215.040,0.173,-0.004,0.969,0
1749791215.040,0.173,-0.007,0.969,0
1749791215.085,0.173,-0.001,0.971,0
1749791215.085,0.173,-0.003,0.973,0
1749791215.085,0.170,-0.005,0.970,0
1749791215.149,0.174,-0.007,0.972,0
1749791215.149,0.171,-0.004,0.968,0
1749791215.149,0.173,-0.006,0.969,0
1749791215.206,0.171,-0.003,0.971,0
1749791215.206,0.173,-0.004,0.970,0
1749791215.206,0.172,-0.003,0.970,0
1749791215.254,0.173,-0.003,0.971,0
1749791215.254,0.175,-0.005,0.972,0
1749791215.254,0.177,-0.003,0.972,0
1749791215.311,0.175,-0.007,0.972,0
1749791215.311,0.179,-0.007,0.966,0
1749791215.311,0.176,-0.009,0.965,0
1749791215.371,0.174,-0.007,0.969,0
1749791215.371,0.173,-0.003,0.971,0
1749791215.371,0.169,-0.002,0.974,0
1749791215.437,0.165,-0.002,0.976,0
1749791215.437,0.163,-0.010,0.975,0
1749791215.437,0.170,-0.020,0.973,0
1749791215.491,0.179,-0.029,0.971,0
1749791215.491,0.175,-0.027,0.968,0
1749791215.491,0.181,-0.028,0.962,0
1749791215.539,0.186,-0.021,0.960,0
1749791215.539,0.186,-0.012,0.972,0
1749791215.539,0.189,-0.008,0.979,0
1749791215.596,0.189,-0.008,0.982,0
1749791215.596,0.183,-0.013,0.980,0
1749791215.596,0.177,-0.017,0.978,0
1749791215.658,0.169,-0.009,0.970,0
1749791215.658,0.166,-0.009,0.964,0
1749791215.658,0.164,-0.005,0.962,0
1749791215.719,0.168,0.006,0.963,0
1749791215.719,0.170,0.016,0.970,0
1749791215.719,0.166,0.017,0.979,0
1749791215.766,0.167,0.012,0.980,0
1749791215.766,0.167,0.008,0.974,0
1749791215.766,0.163,-0.003,0.970,0
1749791215.823,0.165,-0.002,0.962,0
1749791215.823,0.172,-0.010,0.964,0
1749791215.823,0.176,-0.011,0.965,0
1749791215.880,0.178,-0.011,0.965,0
1749791215.880,0.182,-0.009,0.966,0
1749791215.880,0.180,-0.003,0.965,0
1749791215.940,0.184,-0.009,0.969,0
1749791215.940,0.185,-0.006,0.973,0
1749791215.940,0.187,-0.004,0.981,0
1749791216.000,0.183,-0.004,0.978,0
1749791216.000,0.179,-0.009,0.977,0
1749791216.000,0.181,-0.007,0.973,0
1749791216.045,0.181,-0.009,0.970,0
1749791216.045,0.178,-0.009,0.964,0
1749791216.045,0.176,-0.010,0.964,0
1749791216.106,0.172,-0.014,0.966,0
1749791216.106,0.173,-0.012,0.968,0
1749791216.106,0.174,-0.016,0.969,0
1749791216.165,0.175,-0.015,0.968,0
1749791216.165,0.177,-0.014,0.970,0
1749791216.165,0.178,-0.011,0.969,0
1749791216.211,0.177,-0.011,0.969,0
1749791216.211,0.176,-0.012,0.971,0
1749791216.211,0.175,-0.011,0.965,0
1749791216.273,0.177,-0.005,0.966,0
1749791216.273,0.178,-0.007,0.963,0
1749791216.273,0.179,-0.008,0.970,0
1749791216.333,0.180,-0.008,0.969,0
1749791216.333,0.181,-0.010,0.971,0
1749791216.333,0.183,-0.008,0.975,0
1749791216.378,0.183,-0.003,0.975,0
1749791216.378,0.184,-0.004,0.974,0
1749791216.378,0.185,-0.004,0.971,0
1749791216.436,0.182,-0.002,0.967,0
1749791216.436,0.182,-0.004,0.969,0
1749791216.436,0.178,-0.008,0.968,0
1749791216.496,0.178,-0.007,0.969,0
1749791216.496,0.180,-0.006,0.970,0
1749791216.496,0.179,-0.007,0.974,0
1749791216.557,0.182,-0.007,0.974,0
1749791216.557,0.179,-0.003,0.972,0
1749791216.557,0.179,-0.006,0.965,0
1749791216.616,0.177,-0.007,0.966,0
1749791216.616,0.173,-0.005,0.965,0
1749791216.616,0.177,-0.007,0.966,0
1749791216.660,0.181,-0.010,0.970,0
1749791216.660,0.177,-0.013,0.970,0
1749791216.660,0.179,-0.010,0.975,0
1749791216.721,0.179,-0.009,0.971,0
1749791216.721,0.180,-0.005,0.967,0
1749791216.721,0.181,-0.004,0.967,0
1749791216.780,0.184,-0.006,0.971,0
1749791216.780,0.179,-0.010,0.971,0
1749791216.780,0.178,-0.010,0.971,0
1749791216.842,0.178,-0.003,0.966,0
1749791216.842,0.177,-0.005,0.966,0
1749791216.842,0.181,-0.002,0.966,0
1749791216.888,0.179,-0.008,0.969,0
1749791216.888,0.182,-0.005,0.971,0
1749791216.888,0.179,-0.006,0.972,0
1749791216.946,0.183,-0.009,0.971,0
1749791216.946,0.182,-0.009,0.973,0
1749791216.946,0.183,-0.009,0.972,0
1749791217.007,0.177,-0.011,0.970,0
1749791217.007,0.181,-0.008,0.969,0
1749791217.007,0.180,-0.005,0.970,0
1749791217.066,0.178,-0.004,0.969,0
1749791217.066,0.178,-0.003,0.967,0
1749791217.066,0.174,-0.006,0.966,0
1749791217.112,0.180,-0.007,0.969,0
1749791217.112,0.178,-0.009,0.970,0
1749791217.112,0.177,-0.005,0.969,0
1749791217.172,0.179,-0.011,0.966,0
1749791217.172,0.181,-0.010,0.970,0
1749791217.172,0.177,-0.010,0.970,0
1749791217.230,0.181,-0.016,0.968,0
1749791217.230,0.180,-0.009,0.972,0
1749791217.230,0.184,-0.002,0.972,0
1749791217.291,0.188,-0.000,0.971,0
1749791217.291,0.185,-0.000,0.971,0
1749791217.291,0.183,0.001,0.966,0
1749791217.336,0.185,-0.002,0.965,101
1749791217.336,0.182,-0.004,0.968,0
1749791217.336,0.182,-0.008,0.972,0
1749791217.398,0.179,-0.012,0.973,0
1749791217.398,0.182,-0.020,0.974,0
1749791217.398,0.178,-0.012,0.973,0
1749791217.458,0.177,-0.009,0.969,0
1749791217.458,0.179,-0.005,0.969,0
1749791217.458,0.179,-0.009,0.970,0
1749791217.503,0.176,-0.002,0.963,0
1749791217.503,0.177,-0.005,0.964,0
1749791217.503,0.179,-0.009,0.964,0
1749791217.560,0.178,-0.012,0.967,0
1749791217.560,0.181,-0.009,0.967,0
1749791217.560,0.184,-0.009,0.966,0
1749791217.622,0.181,-0.007,0.971,0
1749791217.622,0.176,-0.003,0.975,0
1749791217.622,0.165,0.002,0.992,0
1749791217.685,0.161,0.007,0.978,0
1749791217.685,0.168,-0.008,0.944,0
1749791217.685,0.176,-0.024,0.951,0
1749791217.742,0.183,-0.012,0.948,0
1749791217.742,0.193,-0.002,0.937,0
1749791217.742,0.204,-0.014,0.951,0
1749791217.787,0.209,-0.003,0.970,0
1749791217.787,0.219,0.001,0.985,0
1749791217.787,0.220,-0.006,1.000,0
1749791217.845,0.210,-0.010,1.006,0
1749791217.845,0.200,-0.020,1.000,0
1749791217.845,0.182,-0.014,1.004,0
1749791217.906,0.166,0.005,0.993,0
1749791217.906,0.165,0.017,0.954,0
1749791217.906,0.163,0.011,0.940,0
1749791217.967,0.165,-0.000,0.954,0
1749791217.967,0.156,-0.011,0.975,0
1749791217.967,0.151,-0.019,0.979,0
1749791218.014,0.143,-0.022,0.963,0
1749791218.014,0.153,-0.020,0.936,0
1749791218.014,0.162,-0.006,0.925,0
1749791218.070,0.172,0.002,0.947,0
1749791218.070,0.162,-0.002,0.999,0
1749791218.070,0.175,0.006,0.968,0
1749791218.132,0.181,0.010,0.954,0
1749791218.132,0.186,0.010,0.962,0
1749791218.132,0.187,-0.002,0.960,0
1749791218.189,0.190,-0.034,0.978,0
1749791218.189,0.198,-0.038,0.995,0
1749791218.189,0.203,-0.013,0.974,0
1749791218.237,0.216,0.012,0.955,0
1749791218.237,0.226,0.025,0.956,0
1749791218.237,0.222,0.029,0.984,0
1749791218.300,0.206,0.036,1.009,0
1749791218.300,0.196,0.029,1.005,0
1749791218.300,0.199,0.003,0.971,0
1749791218.356,0.189,-0.018,0.952,0
1749791218.356,0.189,-0.041,0.968,0
1749791218.356,0.185,-0.044,0.986,0
1749791218.415,0.175,-0.039,0.985,0
1749791218.415,0.166,-0.027,0.974,0
1749791218.415,0.163,-0.011,0.950,0
1749791218.460,0.162,-0.005,0.943,0
1749791218.460,0.167,0.007,0.948,0
1749791218.460,0.160,-0.001,0.982,0
1749791218.523,0.151,-0.010,0.980,0
1749791218.523,0.157,-0.005,0.954,0
1749791218.523,0.161,0.001,0.944,0
1749791218.582,0.170,0.008,0.918,0
1749791218.582,0.185,-0.010,0.913,0
1749791218.582,0.199,-0.026,0.942,0
1749791218.638,0.209,-0.017,0.969,0
1749791218.638,0.225,-0.013,0.997,0
1749791218.638,0.228,-0.015,1.011,0
1749791218.685,0.220,-0.002,1.010,0
1749791218.685,0.213,0.008,0.993,0
1749791218.685,0.204,0.023,0.992,0
1749791218.745,0.193,0.028,0.993,0
1749791218.745,0.186,0.013,0.982,0
1749791218.745,0.181,0.000,0.966,0
1749791218.805,0.175,-0.011,0.959,0
1749791218.805,0.175,-0.020,0.956,0
1749791218.805,0.168,-0.024,0.953,0
1749791218.855,0.165,-0.022,0.950,0
1749791218.855,0.164,-0.017,0.948,0
1749791218.855,0.173,-0.006,0.955,0
1749791218.926,0.178,0.003,0.959,0
1749791218.926,0.181,0.006,0.960,0
1749791218.926,0.186,0.002,0.963,0
1749791218.971,0.174,-0.001,1.000,0
1749791218.971,0.171,-0.020,0.990,0
1749791218.971,0.173,-0.010,0.964,0
1749791219.031,0.175,-0.001,0.956,0
1749791219.031,0.179,0.007,0.937,0
1749791219.031,0.197,-0.010,0.917,0
1749791219.090,0.217,-0.029,0.931,0
1749791219.090,0.232,-0.025,0.950,0
1749791219.090,0.235,-0.015,0.993,0
1749791219.138,0.230,-0.005,1.029,0
1749791219.138,0.203,-0.003,1.033,0
1749791219.138,0.189,0.012,1.001,0
1749791219.195,0.191,0.015,0.952,0
1749791219.195,0.185,0.011,0.959,0
1749791219.195,0.175,0.006,0.981,0
1749791219.255,0.174,-0.006,0.975,0
1749791219.314,0.173,-0.026,0.951,0
1749791219.314,0.167,-0.027,0.964,0
1749791219.314,0.170,-0.026,0.969,0
1749791219.360,0.170,-0.023,0.961,0
1749791219.360,0.180,-0.014,0.948,0
1749791219.360,0.186,-0.009,0.950,0
1749791219.423,0.194,-0.005,0.961,0
1749791219.423,0.196,0.001,0.968,0
1749791219.423,0.200,-0.001,0.970,0
1749791219.471,0.198,-0.003,0.967,0
1749791219.471,0.206,-0.003,0.969,0
1749791219.471,0.203,-0.003,0.979,0
1749791219.526,0.203,-0.003,0.985,0
1749791219.526,0.205,-0.003,0.982,0
1749791219.526,0.203,-0.002,0.978,0
1749791219.586,0.195,0.003,0.974,0
1749791219.586,0.197,0.002,0.970,0
1749791219.586,0.193,-0.000,0.968,0
1749791219.647,0.192,-0.005,0.969,0
1749791219.647,0.188,-0.008,0.966,0
1749791219.647,0.187,-0.005,0.966,0
1749791219.708,0.185,-0.006,0.970,0
1749791219.708,0.184,-0.007,0.967,0
1749791219.708,0.183,-0.010,0.965,0
1749791219.754,0.184,-0.013,0.961,0
1749791219.754,0.183,-0.016,0.964,0
1749791219.754,0.182,-0.013,0.966,0
1749791219.810,0.186,-0.006,0.966,0
1749791219.810,0.186,-0.005,0.968,0
1749791219.810,0.190,-0.004,0.967,0
1749791219.871,0.190,-0.002,0.971,0
1749791219.871,0.193,-0.002,0.970,0
1749791219.871,0.189,0.000,0.966,0
1749791219.932,0.189,-0.004,0.970,0
1749791219.932,0.192,-0.006,0.974,0
1749791219.932,0.188,-0.003,0.975,0
1749791219.990,0.189,-0.007,0.973,0
1749791219.990,0.182,0.001,0.971,0
