timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749790805.749,-73.242,-20.020,-31.738,-64.453,0.000,0
1749790805.753,-81.055,-27.344,-28.809,-64.941,0.000,0
1749790805.757,-90.820,-29.785,-29.785,-64.941,0.000,0
1749790805.760,-83.984,-29.785,-31.250,-61.523,0.000,0
1749790805.764,-76.660,-30.273,-30.273,-61.035,0.000,0
1749790805.768,-76.172,-29.297,-36.133,-62.500,0.000,0
1749790805.772,-84.473,-26.367,-37.109,-65.918,0.000,0
1749790805.776,-79.102,-19.043,-32.715,-67.383,0.000,0
1749790805.780,-69.336,-15.137,-30.273,-62.012,0.000,0
1749790805.784,-66.895,-16.602,-32.227,-61.523,0.000,0
1749790805.788,-67.383,-17.578,-31.250,-62.988,0.000,0
1749790805.792,-64.453,-14.648,-23.926,-58.105,0.000,0
1749790805.796,-58.594,-18.555,-27.344,-60.547,0.000,0
1749790805.800,-54.199,-23.438,-37.109,-61.523,0.000,0
1749790805.803,-54.688,-20.996,-38.574,-56.152,0.000,0
1749790805.807,-53.711,-20.020,-32.715,-59.082,0.000,0
1749790805.811,-57.129,-20.508,-28.809,-53.711,0.000,0
1749790805.815,-58.594,-19.043,-29.785,-51.270,0.000,0
1749790805.819,-55.176,-21.973,-29.785,-54.688,0.000,0
1749790805.823,-50.781,-23.926,-28.809,-52.734,0.000,0
1749790805.827,-45.898,-20.020,-30.273,-52.246,0.000,0
1749790805.831,-51.270,-18.066,-35.156,-49.805,0.000,0
1749790805.835,-60.059,-18.555,-42.480,-48.828,0.000,0
1749790805.839,-53.223,-15.625,-42.969,-51.270,0.000,0
1749790805.842,-49.316,-20.020,-39.551,-51.758,0.000,0
1749790805.846,-54.688,-26.367,-37.109,-48.828,0.000,0
1749790805.850,-57.129,-22.461,-36.133,-50.293,0.000,0
1749790805.854,-65.430,-22.461,-36.133,-56.641,0.000,0
1749790805.858,-63.965,-26.855,-39.062,-59.570,0.000,0
1749790805.862,-66.406,-24.902,-44.922,-59.570,0.000,0
1749790805.866,-59.570,-21.484,-39.062,-57.129,0.000,0
1749790805.869,-47.852,-20.508,-32.227,-52.734,0.000,0
1749790805.873,-58.105,-18.555,-35.645,-57.129,0.000,0
1749790805.878,-73.242,-24.414,-39.062,-67.383,0.000,0
1749790805.882,-70.312,-26.367,-36.621,-69.336,0.000,0
1749790805.886,-68.848,-22.949,-29.297,-63.965,0.000,0
1749790805.889,-66.406,-20.020,-25.879,-64.941,0.000,0
1749790805.893,-65.430,-20.508,-29.297,-64.453,0.000,0
1749790805.897,-58.594,-25.879,-34.668,-59.570,0.000,0
