timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749426394.359,26.367,-17.090,-7.324,21.484,0.000,0
1749426394.363,22.461,-11.230,2.441,30.273,0.000,0
1749426394.367,10.742,-13.184,-0.488,22.949,0.000,0
1749426394.371,-2.930,-14.648,-3.906,10.254,0.000,0
1749426394.375,-5.859,-19.043,-0.977,12.695,0.000,0
1749426394.379,-0.977,-17.090,-0.488,24.902,0.000,0
1749426394.382,-4.395,-15.625,-3.418,29.297,0.000,0
1749426394.387,-2.441,-15.137,-7.812,27.344,0.000,0
1749426394.391,-4.395,-14.648,-9.766,32.715,0.000,0
1749426394.395,-0.488,-17.090,-5.859,50.293,0.000,0
1749426394.398,-0.977,-23.926,-7.812,42.969,0.000,0
1749426394.402,-4.883,-23.438,-7.812,27.344,0.000,0
1749426394.406,-4.395,-20.020,-5.371,30.762,0.000,0
1749426394.410,-5.859,-28.809,-6.348,34.668,0.000,0
1749426394.414,3.418,-29.297,-6.348,36.621,0.000,0
1749426394.418,1.953,-26.855,-7.324,30.273,0.000,0
1749426394.422,-22.461,-36.133,-7.324,23.438,0.000,0
1749426394.425,-4.395,-36.621,-12.695,18.555,0.000,0
1749426394.429,28.809,-32.715,-20.020,17.090,0.000,0
1749426394.434,-28.320,-44.434,-29.297,4.395,0.000,0
1749426394.438,-40.527,-52.246,-27.344,8.789,0.000,0
1749426394.442,20.508,-50.781,-27.832,17.578,0.000,0
1749426394.445,38.086,-46.875,-29.785,19.531,0.000,0
1749426394.449,19.043,-43.457,-24.902,21.973,0.000,0
1749426394.453,7.324,-44.434,-27.832,15.625,0.000,0
1749426394.457,3.418,-44.922,-33.691,7.324,0.000,0
1749426394.461,4.883,-38.574,-34.180,12.695,0.000,0
1749426394.465,8.789,-36.621,-31.250,17.578,0.000,0
1749426394.469,6.348,-35.645,-28.320,16.113,0.000,0
1749426394.472,16.113,-30.273,-25.391,16.113,0.000,0
1749426394.476,5.859,-29.785,-29.297,12.207,0.000,0
1749426394.481,-29.297,-35.156,-26.855,17.090,0.000,0
1749426394.485,-20.020,-37.598,-20.508,19.531,0.000,0
1749426394.489,15.137,-31.250,-20.996,13.672,0.000,0
1749426394.492,14.160,-24.414,-15.137,18.555,0.000,0
1749426394.496,23.926,-17.090,-20.020,20.508,0.000,0
1749426394.500,41.016,-18.066,-20.508,26.855,0.000,0
1749426394.504,28.320,-26.367,-12.207,24.902,0.000,0
1749426394.508,22.461,-19.531,-3.906,23.438,0.000,0
1749426394.512,31.738,-10.742,6.348,43.945,0.000,0
1749426394.516,25.391,-14.160,0.488,38.574,0.000,0
1749426394.519,22.949,-15.625,-0.488,27.344,0.000,0
1749426394.523,22.461,-10.254,-0.977,27.832,0.000,0
1749426394.528,12.695,-6.836,0.977,28.320,0.000,0
1749426394.532,20.020,-5.859,3.418,34.180,0.000,0
1749426394.536,18.066,-8.301,4.395,33.203,0.000,0
1749426394.539,9.277,-6.348,7.324,32.227,0.000,0
1749426394.543,4.395,-0.488,8.789,40.527,0.000,0
1749426394.547,9.766,-0.488,13.672,50.781,0.000,0
1749426394.551,24.902,-1.953,13.672,46.387,0.000,0
1749426394.555,22.949,-2.930,10.742,43.945,0.000,0
1749426394.559,27.344,-0.488,13.672,43.945,0.000,0
1749426394.563,33.691,-1.953,15.137,49.805,0.000,0
1749426394.566,39.551,2.930,20.508,50.293,0.000,0
1749426394.570,41.992,5.859,19.531,37.598,0.000,0
1749426394.575,39.062,1.953,12.207,40.527,0.000,0
1749426394.579,43.945,6.348,16.602,46.387,0.000,0
1749426394.582,42.969,8.789,17.578,41.504,0.000,0
1749426394.586,38.574,0.000,9.766,38.086,0.000,0
1749426394.590,39.551,-3.906,8.789,41.016,0.000,0
1749426394.594,36.133,-1.465,16.602,54.688,0.000,0
1749426394.598,33.203,-4.395,18.066,57.129,0.000,0
1749426394.602,40.527,-3.906,17.578,52.246,0.000,0
1749426394.606,40.039,-5.859,15.137,55.176,0.000,0
1749426394.609,36.621,-7.324,13.672,48.340,0.000,0
1749426394.613,25.391,-7.812,15.137,51.270,0.000,0
1749426394.617,18.066,-9.766,13.672,63.477,0.000,0
1749426394.622,20.020,-7.324,15.625,58.594,0.000,0
1749426394.625,22.461,-7.324,16.113,55.176,0.000,0
1749426394.629,32.227,-7.812,14.648,62.500,0.000,0
1749426394.633,28.809,-6.348,14.648,58.594,0.000,0
1749426394.637,33.203,-5.371,17.090,48.340,0.000,0
1749426394.641,40.527,-0.488,18.066,55.664,0.000,0
1749426394.645,33.691,1.953,13.672,62.012,0.000,0
1749426394.649,28.320,-0.488,14.160,64.453,0.000,0
1749426394.652,27.344,-2.441,13.672,58.105,0.000,0
