timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749428435.723,-36.133,-36.621,-8.301,-39.551,0.000,0
1749428435.727,-37.598,-40.039,-11.719,-41.992,0.000,0
1749428435.731,-33.203,-33.203,-6.836,-42.969,0.000,0
1749428435.734,-34.668,-25.879,-7.324,-45.898,0.000,0
1749428435.738,-29.785,-22.461,-10.254,-29.297,0.000,0
1749428435.743,-27.344,-24.414,-5.859,-24.902,0.000,0
1749428435.747,-37.109,-35.156,-4.883,-42.969,0.000,0
1749428435.750,-40.527,-33.203,-9.766,-45.410,0.000,0
1749428435.754,-46.875,-28.809,-14.648,-46.875,0.000,0
1749428435.758,-53.223,-25.879,-18.555,-50.781,0.000,0
1749428435.762,-44.922,-26.367,-14.648,-39.062,0.000,0
1749428435.766,-37.598,-23.926,-15.137,-32.227,0.000,0
1749428435.770,-30.762,-16.113,-17.578,-36.133,0.000,0
1749428435.773,-15.137,-13.184,-17.090,-28.320,0.000,0
1749428435.777,-15.625,-20.996,-20.508,-16.602,0.000,0
1749428435.781,-42.480,-35.156,-12.207,-24.902,0.000,0
1749428435.785,-55.176,-38.574,-4.883,-43.457,0.000,0
1749428435.790,-46.387,-42.480,-5.859,-36.621,0.000,0
1749428435.794,-47.363,-47.852,0.000,-29.785,0.000,0
1749428435.797,-42.969,-45.410,12.695,-21.484,0.000,0
1749428435.801,-38.086,-41.992,13.672,-27.344,0.000,0
1749428435.805,-44.434,-41.016,10.254,-40.527,0.000,0
1749428435.809,-43.457,-35.645,15.137,-25.879,0.000,0
1749428435.813,-17.090,-41.992,10.742,-20.996,0.000,0
1749428435.817,-8.301,-46.387,-3.906,-22.949,0.000,0
1749428435.821,-41.016,-44.922,-19.043,-38.574,0.000,0
1749428435.824,-44.434,-45.898,-18.066,-41.504,0.000,0
1749428435.828,-25.391,-37.109,-11.719,-27.832,0.000,0
1749428435.832,-38.574,-32.227,-11.230,-33.203,0.000,0
1749428435.837,-49.805,-35.645,-7.324,-27.832,0.000,0
1749428435.841,-31.738,-37.598,-12.207,-52.246,0.000,0
1749428435.844,-14.160,-25.391,-3.906,-88.867,0.000,0
1749428435.848,-20.508,-29.297,5.371,-88.379,0.000,0
1749428435.852,-19.043,-40.039,3.418,-88.379,0.000,0
1749428435.856,-17.578,-29.297,0.977,-92.285,0.000,0
1749428435.860,-31.738,-33.691,1.953,-88.379,0.000,0
1749428435.864,-26.855,-45.898,10.742,-76.660,0.000,0
1749428435.868,-20.508,-50.781,7.812,-82.031,0.000,0
1749428435.871,-22.949,-36.621,11.230,-79.590,0.000,0
1749428435.875,-26.855,-17.578,11.230,-74.219,0.000,0
1749428435.879,-33.691,-20.508,-5.371,-78.613,0.000,0
1749428435.884,-20.508,-21.973,5.859,-67.383,0.000,0
1749428435.888,-14.160,-20.996,18.066,-54.688,0.000,0
1749428435.891,-14.160,-25.391,8.301,-62.012,0.000,0
1749428435.895,-12.695,-32.715,2.930,-61.035,0.000,0
1749428435.899,-9.766,-35.645,3.906,-51.270,0.000,0
1749428435.903,-3.906,-25.879,13.184,-43.457,0.000,0
1749428435.907,-16.602,-20.020,15.137,-40.039,0.000,0
1749428435.911,-37.109,-24.414,3.906,-47.363,0.000,0
1749428435.915,-20.996,-22.949,10.254,-37.598,0.000,0
1749428435.918,-2.930,-25.391,10.742,-35.156,0.000,0
1749428435.922,-31.250,-31.250,-6.836,-50.293,0.000,0
1749428435.926,-24.414,-21.484,-1.465,-54.688,0.000,0
1749428435.931,-17.090,-20.996,6.836,-49.316,0.000,0
