timestamps,PPG1,PPG2,PPG3,Marker0
1749427102.885,451916.000,287308.000,2498.000,0
1749427102.900,451976.000,287338.000,2491.000,0
1749427102.916,451950.000,287367.000,2491.000,0
1749427102.931,451960.000,287287.000,2524.000,0
1749427102.947,451948.000,287260.000,2490.000,0
1749427102.963,451884.000,287245.000,2525.000,0
1749427102.978,451885.000,287252.000,2469.000,0
1749427102.994,451891.000,287259.000,2489.000,0
1749427103.010,451913.000,287237.000,2433.000,0
1749427103.025,451723.000,287204.000,2497.000,0
1749427103.041,451838.000,287242.000,2490.000,0
1749427103.056,451776.000,287229.000,2409.000,0
1749427103.072,451930.000,287220.000,2490.000,0
1749427103.088,451919.000,287255.000,2425.000,0
1749427103.103,452034.000,287290.000,2473.000,0
1749427103.119,452007.000,287279.000,2493.000,0
1749427103.135,452019.000,287343.000,2528.000,0
1749427103.150,452071.000,287327.000,2491.000,0
1749427103.166,452083.000,287302.000,2534.000,0
1749427103.181,452041.000,287345.000,2509.000,0
1749427103.197,452028.000,287359.000,2480.000,0
1749427103.213,452093.000,287362.000,2533.000,0
1749427103.228,452038.000,287351.000,2490.000,0
1749427103.244,451976.000,287331.000,2490.000,0
1749427103.260,451858.000,287397.000,2499.000,0
1749427103.275,451850.000,287383.000,2490.000,0
1749427103.291,451841.000,287395.000,2399.000,0
1749427103.306,451900.000,287358.000,2467.000,0
1749427103.322,451854.000,287417.000,2490.000,0
1749427103.338,451770.000,287306.000,2410.000,0
1749427103.353,451749.000,287315.000,2489.000,0
1749427103.369,451701.000,287247.000,2508.000,0
1749427103.385,451615.000,287112.000,2501.000,0
1749427103.400,451547.000,286966.000,2511.000,0
1749427103.416,451443.000,286897.000,2542.000,0
1749427103.431,451231.000,286842.000,2449.000,0
1749427103.447,451238.000,286755.000,2490.000,0
1749427103.463,451103.000,286768.000,2533.000,0
1749427103.478,451085.000,286786.000,2491.000,0
1749427103.494,451227.000,286776.000,2454.000,0
1749427103.510,451122.000,286811.000,2500.000,0
1749427103.525,451244.000,286792.000,2489.000,0
1749427103.541,451089.000,286778.000,2405.000,0
1749427103.556,451190.000,286790.000,2490.000,0
1749427103.572,451155.000,286768.000,2498.000,0
1749427103.588,451158.000,286744.000,2503.000,0
1749427103.603,451134.000,286786.000,2488.000,0
1749427103.619,451142.000,286760.000,2515.000,0
1749427103.635,451145.000,286729.000,2489.000,0
1749427103.650,451130.000,286730.000,2489.000,0
1749427103.666,451129.000,286696.000,2527.000,0
1749427103.681,451142.000,286696.000,2464.000,0
1749427103.697,451013.000,286705.000,2543.000,0
